meter_id,customer_id,unit_type,construction_year,energy_label
1,2226,single_family_house,1966,D
2,445,single_family_house,1969,""
3,3060,single_family_house,1961,""
4,1904,single_family_house,1969,""
5,2706,single_family_house,1933,""
6,1033,single_family_house,1975,E
7,250,single_family_house,1892,""
8,1428,terraced_house,2016,A
9,2560,terraced_house,2003,""
10,26,terraced_house,1972,B
11,2307,single_family_house,1956,""
12,2880,single_family_house,1971,""
13,978,single_family_house,2014,A
14,2282,terraced_house,2016,A
15,1702,single_family_house,1951,""
16,1297,single_family_house,2015,A
17,1010,terraced_house,1957,""
18,1148,terraced_house,1987,""
19,393,single_family_house,1965,""
20,3090,single_family_house,1996,""
21,2511,single_family_house,1963,D
22,1339,single_family_house,1966,D
23,1317,terraced_house,1951,D
24,2507,terraced_house,1972,B
25,896,single_family_house,1928,""
26,1765,single_family_house,1975,""
27,1819,single_family_house,1929,""
28,1761,single_family_house,1965,E
29,1665,single_family_house,1977,""
30,1912,terraced_house,1951,D
31,2336,single_family_house,2013,A
32,1184,single_family_house,1944,""
33,1606,terraced_house,1965,""
34,2801,single_family_house,1928,E
35,989,single_family_house,1977,""
36,2963,single_family_house,1955,""
37,1005,single_family_house,1958,""
38,848,single_family_house,1958,""
39,285,single_family_house,1972,E
40,2492,single_family_house,1924,""
41,2931,single_family_house,2014,A
42,1847,single_family_house,1958,""
43,2756,single_family_house,1958,""
44,2796,terraced_house,1987,B
45,1670,single_family_house,1974,D
46,1072,single_family_house,1927,E
47,2938,single_family_house,1922,""
48,969,single_family_house,1967,D
49,516,terraced_house,2017,""
50,1173,single_family_house,1953,""
51,2693,single_family_house,1968,""
52,241,terraced_house,2016,""
53,535,single_family_house,1930,""
54,2140,terraced_house,1956,D
55,1415,single_family_house,1952,D
56,1389,single_family_house,1975,""
57,172,single_family_house,1973,""
58,2933,single_family_house,1975,D
59,1707,single_family_house,1908,C
60,2047,single_family_house,1927,""
61,778,single_family_house,1911,""
62,148,single_family_house,1968,""
63,1897,single_family_house,1953,C
64,1825,terraced_house,2003,B
65,94,single_family_house,1969,""
66,679,single_family_house,1953,""
67,2994,single_family_house,1963,""
68,1763,single_family_house,1900,C
69,2910,single_family_house,1984,""
70,847,single_family_house,1918,""
71,1584,single_family_house,2018,A
72,1787,terraced_house,2017,""
73,2979,single_family_house,1970,D
74,2966,single_family_house,1940,F
75,1742,single_family_house,1955,""
76,1971,single_family_house,1975,""
77,1634,single_family_house,1967,""
78,1856,single_family_house,1963,E
79,1958,terraced_house,1972,""
80,2985,single_family_house,1970,""
81,1833,single_family_house,2018,A
82,1163,single_family_house,1961,""
83,735,single_family_house,0,""
84,1328,single_family_house,1900,""
85,2918,single_family_house,1930,""
86,569,single_family_house,1973,""
87,354,single_family_house,1965,""
88,2297,single_family_house,1978,""
89,598,single_family_house,1975,""
90,902,single_family_house,1930,D
91,930,single_family_house,1957,""
92,33,single_family_house,1954,D
93,1170,single_family_house,1966,D
94,2061,single_family_house,2014,A
95,2126,terraced_house,1972,""
96,730,single_family_house,1953,C
97,725,single_family_house,1960,""
98,2841,single_family_house,1958,""
99,1395,single_family_house,1938,""
100,2339,terraced_house,1919,""
101,2348,single_family_house,1963,E
102,1071,single_family_house,1944,""
103,169,single_family_house,1933,""
104,1095,single_family_house,1986,E
105,1716,single_family_house,1955,E
106,2636,single_family_house,1980,""
107,2353,terraced_house,1980,""
108,2037,terraced_house,1972,B
109,2946,single_family_house,1984,""
110,1627,single_family_house,1957,E
111,3001,single_family_house,1976,""
112,1334,single_family_house,1984,""
113,337,single_family_house,1976,""
114,974,single_family_house,1963,""
115,81,single_family_house,1900,""
116,575,single_family_house,1972,""
117,1407,single_family_house,1972,""
118,1650,single_family_house,1935,""
119,1864,single_family_house,1922,D
120,2133,terraced_house,1972,""
121,138,single_family_house,1864,""
122,2736,single_family_house,1928,""
123,2649,single_family_house,1968,""
124,2454,single_family_house,1975,C
125,843,single_family_house,1916,""
126,2057,single_family_house,1969,""
127,2711,single_family_house,1977,""
128,709,single_family_house,1937,""
129,1040,single_family_house,1953,D
130,1730,single_family_house,1974,""
131,91,single_family_house,1974,D
132,1983,single_family_house,2016,A
133,1465,apartment,2006,C
134,1768,terraced_house,1972,""
135,390,single_family_house,1924,""
136,2929,single_family_house,1926,D
137,2853,single_family_house,2016,A
138,2210,terraced_house,1965,""
139,1041,single_family_house,2006,""
140,1152,apartment,2006,C
141,2411,single_family_house,2014,A
142,3072,single_family_house,1980,C
143,1643,single_family_house,1976,""
144,1157,unclear,,D
145,518,single_family_house,1973,""
146,2498,single_family_house,1949,""
147,55,single_family_house,1964,""
148,1755,single_family_house,1965,C
149,664,single_family_house,2014,A
150,1303,terraced_house,1961,""
151,170,single_family_house,1953,""
152,59,single_family_house,1969,""
153,1411,single_family_house,2013,A
154,1574,unclear,,""
155,1053,single_family_house,2000,""
156,75,unclear,,""
157,973,single_family_house,1984,""
158,908,single_family_house,1984,""
159,857,single_family_house,1970,""
160,804,single_family_house,1970,""
161,798,single_family_house,1960,""
162,2557,single_family_house,1983,""
163,2017,single_family_house,1962,D
164,1748,single_family_house,1966,C
165,2270,terraced_house,1920,""
166,1195,terraced_house,1954,""
167,925,single_family_house,1915,F
168,19,single_family_house,1962,""
169,2236,single_family_house,1957,""
170,161,terraced_house,1972,B
171,1392,single_family_house,1975,""
172,427,single_family_house,1983,C
173,811,single_family_house,1957,E
174,196,single_family_house,1972,""
175,1399,single_family_house,1920,""
176,113,single_family_house,1954,""
177,2674,single_family_house,1963,""
178,1100,single_family_house,2015,A
179,2010,single_family_house,1965,""
180,2022,single_family_house,1969,""
181,980,terraced_house,1955,""
182,2486,terraced_house,1951,D
183,1541,terraced_house,1951,D
184,3113,apartment,2006,C
185,2386,terraced_house,2018,A
186,2157,non_residential,1963,""
187,566,single_family_house,1960,""
188,1831,single_family_house,1965,""
189,2313,single_family_house,1952,""
190,1003,single_family_house,1923,F
191,2614,terraced_house,2017,A
192,603,apartment,2006,C
193,1160,terraced_house,2017,A
194,2162,single_family_house,1921,""
195,2967,single_family_house,2002,B
196,2530,single_family_house,1928,""
197,1278,terraced_house,1983,""
198,2815,single_family_house,1971,""
199,1236,single_family_house,1965,""
200,797,single_family_house,1962,""
201,2515,terraced_house,2016,""
202,2559,single_family_house,1971,""
203,2404,single_family_house,1965,""
204,1141,single_family_house,2015,A
205,2789,single_family_house,1971,""
206,3058,single_family_house,1977,C
207,2612,single_family_house,1961,""
208,917,single_family_house,1959,""
209,941,single_family_house,1974,D
210,2125,single_family_house,1961,""
211,1191,single_family_house,2013,A
212,2257,single_family_house,1976,D
213,2368,single_family_house,1957,""
214,476,single_family_house,1931,D
215,440,single_family_house,1964,""
216,2242,single_family_house,1933,F
217,519,single_family_house,1937,""
218,1461,terraced_house,1972,""
219,1246,single_family_house,1925,""
220,533,terraced_house,1951,D
221,2875,single_family_house,1955,E
222,2857,single_family_house,1909,""
223,407,single_family_house,2001,""
224,1791,terraced_house,1987,B
225,2293,terraced_house,1960,""
226,2589,single_family_house,1976,""
227,2703,single_family_house,1975,""
228,2773,single_family_house,1948,""
229,1051,single_family_house,1976,""
230,1821,single_family_house,1961,""
231,1068,single_family_house,1921,""
232,327,single_family_house,1964,E
233,3045,single_family_house,1962,C
234,2230,single_family_house,1979,""
235,1653,single_family_house,1923,""
236,464,single_family_house,1907,""
237,2668,single_family_house,1943,""
238,1851,terraced_house,2016,""
239,1262,single_family_house,1958,""
240,3075,single_family_house,1943,D
241,2292,terraced_house,1972,B
242,1425,unclear,,""
243,1617,single_family_house,2017,A
244,1660,single_family_house,1951,""
245,388,single_family_house,1913,""
246,2426,single_family_house,1928,""
247,2105,single_family_house,1920,C
248,3002,single_family_house,1951,""
